,Tender name,Industry,Location of contract,Value of contract,Procurment references,Published date,closing date,closing time
0,"22017 For the Supply, Install and maintenance of Access Contract System",Command and control system - 42961000,England,CCC001-DN601203-75823452,22 April 2022,5 August 2022,Yes,Yes
1,GB-YORK: Economic and Social Impact Assessment ITT,Financial consultancy services - 66171000,Yorkshire and the Humber,"£10,000 to £25,000",BIP685320590,22 April 2022,6 May 2022,4pm
2,Innovate UK KTN - Live Streaming,Research and development services and related consultancy services - 73000000,N1 0QH,"£80,000",Innovate UK KTN - Live Streaming,30 March 2022,29 April 2022,5pm
3,"Replace Windows, Doors and Curtain Walling at Abbotswood Primary School, Kelston Close, Yate BS37 8SZ",Construction work for school buildings - 45214200,BS37 5AF,"£250,000",SGLOS001-DN608669-92666151,22 April 2022,23 May 2022,12pm
4,"CA10377 - DN Colleges Group - Student Transport Services, routes 642 & 590",Transport services (excl. Waste transport) - 60000000,DN1 2RF,£0,ad58c3cd-d996-4cc8-ac8b-46c5e39ee09c,22 April 2022,16 May 2022,12pm
5,Solarwinds Renewal 2022,Software package and information systems - 48000000,PO1 2BJ,£0,IT-26-4680-P00004680,22 April 2022,3 May 2022,3pm
6,SE1046 - System Partner Thematic Review,Research consultancy services - 73210000,Any region,"£50,000",tender_304976/1065528,22 April 2022,12 May 2022,12pm
7,Copy Edit Support to GDF Business Case development 2022-2025,Business and management consultancy and related services - 79400000,Any region,"£0 to £55,000",20220422100031-3510,22 April 2022,20 May 2022,12pm
8,tender name missing,industry missing,location of contract missing,value of contract missing,procurement reference missing,published date missing,closing date missing,closing time missing
9,River Allen - River Wall Repair,Building construction work - 45210000,TR12HH,"£200,000",DCH001-DN608781-37591235,22 April 2022,28 April 2022,11:59pm
10,NCC858 - Port of Blyth Training Services(Northumberland College Energy Centre) Refurbishment Scheme,Construction work - 45000000,England,"£300,000",NHM002-DN608313-18801181,22 April 2022,20 May 2022,12pm
11,Bespoke Career Software,Software package and information systems - 48000000,LU1 3JU,£0,ME,22 April 2022,29 April 2022,12pm
12,Dental Radiology Equipment,Dental X-ray - 33111500,BS2 0PT,"£70,000",tender_271803/1065506,22 April 2022,23 May 2022,12pm
13,RA316904 - OPD couches required for Epsom & St Helier Hospital,"Medical equipments, pharmaceuticals and personal care products - 33000000",SW17 0QT,£0,RA316904,22 April 2022,22 April 2022,2:30pm
14,RA316899 - Patient chairs for OPD,"Medical equipments, pharmaceuticals and personal care products - 33000000",SW17 0QT,£0,RA316899,22 April 2022,22 April 2022,2:30pm
15,RA316897 - Couch steps required for Epsom & St Helier Hospital,"Medical equipments, pharmaceuticals and personal care products - 33000000",SW17 0QT,£0,RA316897,22 April 2022,22 April 2022,2:30pm
16,Laundry Services for Leicestershire Police,Laundry-collection services - 98311000,East Midlands,"£0 to £200,000",20220422083125-30501,22 April 2022,12 May 2022,12pm
17,Laundry Services for Leicestershire Police,Laundry-collection services - 98311000,East Midlands,"£0 to £200,000",20220422083125-30501,22 April 2022,12 May 2022,12pm
18,Cyber Security: Security Operations & Monitoring Managed Service (Soft Market Testing Exercise),"IT services: consulting, software development, Internet and support - 72000000",South East,2021UoS-0382,21 April 2022,20 May 2022,Yes,No
19,"LPS CARE - Lancashire Roving Night Support Service - RFQ 15331419,2",Health and social work services - 85000000,North West,"£2,847,000",DR/ACS/LCC/22/1406,20 April 2022,20 May 2022,10am
20,"Provision of Security Guarding Services to the British Embassy Athens, Greece",Security services - 79710000,Any region,£0,tender_299204/1053271,18 March 2022,3 May 2022,3pm
21,Professional Services Team to develop Strategic Masterplan for St Austell town centre,"Architectural, construction, engineering and inspection services - 71000000",South West,"£35,000 to £65,000",01-02,24 March 2022,3 May 2022,12pm
22,PLACE 106 - Longcliffe Station Bridge Replacement Longcliffe Nr Brassington Derbyshire,Bridge - 44212100,England,"£250,000",DERBSCC001-DN608929-54296635,22 April 2022,23 May 2022,12pm
23,Supply of Cleaning Services to the Metropolitan Police Service,Building and facilities management services - 79993000,"London, South East","£98,000,000",COUPA Ref: 897/Cleaning Services,22 April 2022,15 July 2022,11:59pm
24,Contract 49 - Frameworks for the Supply of Rigid Kitchen Units 2022-2024,Miscellaneous fabricated products and related items - 44400000,England,"£1,800,000",NTYN001-DN555635-28785659,21 April 2022,27 May 2022,12pm
25,COM/7401/2021 - Storage and Moving Services for the BE in Mexico,Storage units - 39173000,Any region,£0,tender_284324/1065493,21 April 2022,25 May 2022,11:59pm
